timestamp,serial,id,JOINT_WAIST.x,JOINT_WAIST.y,JOINT_WAIST.z,JOINT_TORSO.x,JOINT_TORSO.y,JOINT_TORSO.z,JOINT_TORSO.rot,JOINT_NECK.x,JOINT_NECK.y,JOINT_NECK.z,JOINT_NECK.rot,JOINT_HEAD.x,JOINT_HEAD.y,JOINT_HEAD.z,JOINT_RIGHT_COLLAR.x,JOINT_RIGHT_COLLAR.y,JOINT_RIGHT_COLLAR.z,JOINT_LEFT_COLLAR.x,JOINT_LEFT_COLLAR.y,JOINT_LEFT_COLLAR.z,JOINT_LEFT_SHOULDER.x,JOINT_LEFT_SHOULDER.y,JOINT_LEFT_SHOULDER.z,JOINT_LEFT_SHOULDER.rot,JOINT_LEFT_ELBOW.x,JOINT_LEFT_ELBOW.y,JOINT_LEFT_ELBOW.z,JOINT_LEFT_ELBOW.rot,JOINT_LEFT_WRIST.x,JOINT_LEFT_WRIST.y,JOINT_LEFT_WRIST.z,JOINT_LEFT_HAND.x,JOINT_LEFT_HAND.y,JOINT_LEFT_HAND.z,JOINT_RIGHT_SHOULDER.x,JOINT_RIGHT_SHOULDER.y,JOINT_RIGHT_SHOULDER.z,JOINT_RIGHT_SHOULDER.rot,JOINT_RIGHT_ELBOW.x,JOINT_RIGHT_ELBOW.y,JOINT_RIGHT_ELBOW.z,JOINT_RIGHT_ELBOW.rot,JOINT_RIGHT_WRIST.x,JOINT_RIGHT_WRIST.y,JOINT_RIGHT_WRIST.z,JOINT_RIGHT_HAND.x,JOINT_RIGHT_HAND.y,JOINT_RIGHT_HAND.z,JOINT_LEFT_HIP.x,JOINT_LEFT_HIP.y,JOINT_LEFT_HIP.z,JOINT_LEFT_HIP.rot,JOINT_LEFT_KNEE.x,JOINT_LEFT_KNEE.y,JOINT_LEFT_KNEE.z,JOINT_LEFT_KNEE.rot,JOINT_LEFT_ANKLE.x,JOINT_LEFT_ANKLE.y,JOINT_LEFT_ANKLE.z,JOINT_RIGHT_HIP.x,JOINT_RIGHT_HIP.y,JOINT_RIGHT_HIP.z,JOINT_RIGHT_HIP.rot,JOINT_RIGHT_KNEE.x,JOINT_RIGHT_KNEE.y,JOINT_RIGHT_KNEE.z,JOINT_RIGHT_KNEE.rot,JOINT_RIGHT_ANKLE.x,JOINT_RIGHT_ANKLE.y,JOINT_RIGHT_ANKLE.z
269576066527,171990135147,1,0.393258,-0.205012,1.85788,0.397945,0.00485845,1.86495,179.897,0.372721,0.338129,1.90194,164.026,0.298628,0.428622,2.02784,0.403339,0.267156,1.83863,0.403339,0.267156,1.83863,0.448254,0.254768,1.84258,72.6273,0.327558,0.0674205,1.93702,,,,,,,,0.39042,0.291546,1.97056,72.1251,0.196829,0.0925775,1.93342,115.246,-0.0388134,0.173575,2.24736,-0.104793,0.196254,2.33526,0.390691,-0.240044,1.84906,174.555,0.327234,-0.61383,1.7828,151.252,0.414145,-0.864632,1.71909,0.340745,-0.237122,1.86834,128.608,0.287557,-0.660329,2.06559,,,,
269576406874,171990135147,1,0.392229,-0.206712,1.85841,0.395718,0.00329828,1.87162,178.976,0.372986,0.337313,1.91746,164.79,0.298531,0.428308,2.02763,0.404786,0.266161,1.86314,0.404786,0.266161,1.86314,0.454006,0.246506,1.84677,100.671,0.402427,-0.0164791,1.80539,,,,,,,,0.385022,0.267866,1.98561,118.056,0.249132,0.0585226,1.91594,55.6252,0.195304,0.187605,2.18533,0.180231,0.223748,2.26075,0.394291,-0.24634,1.84719,166.798,0.328253,-0.612495,1.76463,150.933,0.414259,-0.864517,1.71835,0.339895,-0.246672,1.87857,135.922,0.279152,-0.650326,2.05615,152.941,0.348841,-0.858585,1.73969
269576406874,171990135147,1,0.392229,-0.206712,1.85841,0.395718,0.00329828,1.87162,178.976,0.372986,0.337313,1.91746,164.79,0.298531,0.428308,2.02763,0.404786,0.266161,1.86314,0.404786,0.266161,1.86314,0.454006,0.246506,1.84677,100.671,0.402427,-0.0164791,1.80539,,,,,,,,0.385022,0.267866,1.98561,118.056,0.249132,0.0585226,1.91594,55.6252,0.195304,0.187605,2.18533,0.180231,0.223748,2.26075,0.394291,-0.24634,1.84719,166.798,0.328253,-0.612495,1.76463,150.933,0.414259,-0.864517,1.71835,0.339895,-0.246672,1.87857,135.922,0.279152,-0.650326,2.05615,152.941,0.348841,-0.858585,1.73969
269576736156,171990135147,1,0.385002,-0.210036,1.87943,0.392994,-0.000535592,1.89572,179.347,0.37323,0.335646,1.93816,166.041,0.298426,0.428169,2.02755,0.406158,0.265021,1.89401,0.406158,0.265021,1.89401,0.465606,0.246582,1.84783,100.332,0.434517,-0.0103153,1.80743,78.6484,0.29768,0.0348118,1.89487,0.259365,0.0474474,1.91936,0.359033,0.257859,2.04318,137.34,0.225094,0.0906636,1.95735,115.915,-0.166942,0.179613,2.22762,-0.276712,0.200702,2.30263,0.398085,-0.255641,1.84423,152.995,0.329186,-0.610139,1.73719,150.44,0.414546,-0.864357,1.71676,0.334333,-0.286666,2.0125,156.367,0.270007,-0.657543,2.05275,,,,
269577066174,171990135147,1,0.371053,-0.21856,1.91587,0.389938,-0.0074063,1.92907,178.542,0.373332,0.333318,1.95724,167.663,0.298314,0.428119,2.0275,0.407254,0.263826,1.92287,0.407254,0.263826,1.92287,0.472206,0.246085,1.84687,110.676,0.496113,-0.00691851,1.801,76.9058,0.331688,0.0153015,1.87331,0.285648,0.0215231,1.89776,0.340149,0.250861,2.05087,,,,,,,,,,,,0.401711,-0.265244,1.83988,134.817,0.329952,-0.606072,1.71975,,,,,0.31751,-0.319334,2.06448,160.873,0.263388,-0.666706,2.04893,153.05,0.323101,-0.849462,2.05167
269577406828,171990135147,1,0.359433,-0.224702,1.9293,0.387048,-0.0124447,1.94406,177.045,0.373428,0.329648,1.9715,170.235,0.298208,0.428097,2.02748,0.408492,0.262626,1.94357,0.408492,0.262626,1.94357,0.479172,0.245585,1.84694,117.233,0.540184,-0.0051125,1.79172,71.4463,0.347312,0.0113396,1.86212,0.293308,0.0159463,1.88469,0.343204,0.253408,2.05102,155.437,0.160577,0.136616,2.18294,144.759,-0.146451,0.150783,2.21606,-0.232419,0.15475,2.22534,0.402786,-0.272205,1.83415,125.078,0.329855,-0.600151,1.70752,149.908,0.40905,-0.850496,1.69179,0.308798,-0.280555,1.97312,144.831,0.259905,-0.677273,2.04436,,,,
269577736162,171990135147,1,0.351706,-0.227624,1.92637,0.384135,-0.0154597,1.94568,176.587,0.373528,0.322658,1.98024,174.97,0.298113,0.428077,2.02747,0.409706,0.261362,1.95653,0.409706,0.261362,1.95653,0.48436,0.24487,1.84688,115.766,0.543873,-0.0067085,1.776,72.4756,0.358671,0.00694166,1.84805,0.304424,0.0109426,1.86982,0.349459,0.252046,2.01998,158.408,0.161696,0.141965,2.18673,152.31,-0.145478,0.127524,2.21949,-0.231487,0.123481,2.22867,0.40179,-0.27367,1.82863,119.844,0.329704,-0.592217,1.69777,150.128,0.407137,-0.84359,1.682,0.300106,-0.278354,1.96462,140.868,0.255041,-0.682989,2.03885,,,,
269578066213,171990135147,1,0.344192,-0.244398,1.93013,0.381099,-0.025146,1.94683,176.999,0.373667,0.31293,1.98459,179.701,0.298939,0.4265,2.0275,0.413126,0.253636,1.96313,0.413126,0.253636,1.96313,0.493533,0.237422,1.84702,112.776,0.543186,-0.00936915,1.75982,74.1952,0.363993,0.00451026,1.83844,0.313745,0.0110572,1.86089,0.334576,0.249433,2.12343,150.942,0.158113,0.13865,2.19112,152.146,-0.148699,0.11576,2.22833,-0.234607,0.111518,2.23881,0.400849,-0.276176,1.824,106.136,0.329412,-0.581905,1.69393,150.708,0.405219,-0.843855,1.67945,0.270086,-0.317704,2.0406,137.917,0.249497,-0.682772,2.03173,144.111,0.329393,-0.80741,1.69693
269578406860,171990135147,1,0.337159,-0.261185,1.9339,0.378115,-0.0371681,1.94738,177.57,0.373814,0.302325,1.98605,174.638,0.299764,0.424956,2.02746,0.417232,0.243621,1.96632,0.417232,0.243621,1.96632,0.502529,0.22709,1.84715,110.612,0.543441,-0.0136691,1.75033,75.3915,0.363595,0.00195301,1.83117,0.313058,0.0110054,1.85386,0.333078,0.246693,2.12468,145.069,0.158333,0.133906,2.19052,152.02,-0.147734,0.107886,2.24007,-0.233432,0.103715,2.25451,0.39982,-0.279217,1.82167,92.8057,0.329077,-0.579695,1.68971,149.911,0.408922,-0.84347,1.67512,0.257788,-0.344636,2.0424,138.937,0.243093,-0.680968,2.02013,143.85,0.329466,-0.810731,1.6924
269578736141,171990135147,1,0.332805,-0.269392,1.93759,0.376567,-0.0454378,1.94765,178.284,0.374621,0.2923,1.9865,169.278,0.301246,0.422463,2.02742,0.422733,0.235231,1.96784,0.422733,0.235231,1.96784,0.507277,0.217529,1.8473,110.468,0.543433,-0.0203541,1.74296,75.1693,0.364273,-0.00092775,1.82219,0.313903,0.0108702,1.84455,0.334147,0.244238,2.12303,141.076,0.15825,0.129487,2.18926,152.932,-0.146967,0.0971277,2.25118,-0.232453,0.0902837,2.27087,0.398972,-0.279182,1.82243,85.2427,0.328532,-0.580134,1.68517,149.667,0.409738,-0.843126,1.67304,0.251369,-0.349752,2.04492,136.191,0.24228,-0.680882,2.00735,145.174,0.328985,-0.81311,1.68945
