timestamp,serial,id,JOINT_WAIST.x,JOINT_WAIST.y,JOINT_WAIST.z,JOINT_TORSO.x,JOINT_TORSO.y,JOINT_TORSO.z,JOINT_TORSO.rot,JOINT_NECK.x,JOINT_NECK.y,JOINT_NECK.z,JOINT_NECK.rot,JOINT_HEAD.x,JOINT_HEAD.y,JOINT_HEAD.z,JOINT_RIGHT_COLLAR.x,JOINT_RIGHT_COLLAR.y,JOINT_RIGHT_COLLAR.z,JOINT_LEFT_COLLAR.x,JOINT_LEFT_COLLAR.y,JOINT_LEFT_COLLAR.z,JOINT_LEFT_SHOULDER.x,JOINT_LEFT_SHOULDER.y,JOINT_LEFT_SHOULDER.z,JOINT_LEFT_SHOULDER.rot,JOINT_LEFT_ELBOW.x,JOINT_LEFT_ELBOW.y,JOINT_LEFT_ELBOW.z,JOINT_LEFT_ELBOW.rot,JOINT_LEFT_WRIST.x,JOINT_LEFT_WRIST.y,JOINT_LEFT_WRIST.z,JOINT_LEFT_HAND.x,JOINT_LEFT_HAND.y,JOINT_LEFT_HAND.z,JOINT_RIGHT_SHOULDER.x,JOINT_RIGHT_SHOULDER.y,JOINT_RIGHT_SHOULDER.z,JOINT_RIGHT_SHOULDER.rot,JOINT_RIGHT_ELBOW.x,JOINT_RIGHT_ELBOW.y,JOINT_RIGHT_ELBOW.z,JOINT_RIGHT_ELBOW.rot,JOINT_RIGHT_WRIST.x,JOINT_RIGHT_WRIST.y,JOINT_RIGHT_WRIST.z,JOINT_RIGHT_HAND.x,JOINT_RIGHT_HAND.y,JOINT_RIGHT_HAND.z,JOINT_LEFT_HIP.x,JOINT_LEFT_HIP.y,JOINT_LEFT_HIP.z,JOINT_LEFT_HIP.rot,JOINT_LEFT_KNEE.x,JOINT_LEFT_KNEE.y,JOINT_LEFT_KNEE.z,JOINT_LEFT_KNEE.rot,JOINT_LEFT_ANKLE.x,JOINT_LEFT_ANKLE.y,JOINT_LEFT_ANKLE.z,JOINT_RIGHT_HIP.x,JOINT_RIGHT_HIP.y,JOINT_RIGHT_HIP.z,JOINT_RIGHT_HIP.rot,JOINT_RIGHT_KNEE.x,JOINT_RIGHT_KNEE.y,JOINT_RIGHT_KNEE.z,JOINT_RIGHT_KNEE.rot,JOINT_RIGHT_ANKLE.x,JOINT_RIGHT_ANKLE.y,JOINT_RIGHT_ANKLE.z
12037745005675,020936151947,1,-0.103396,0.220637,2.45871,-0.101208,0.425485,2.50087,175.91,-0.121103,0.752875,2.5468,177.097,-0.122434,0.88575,2.5733,-0.115914,0.667492,2.53482,-0.115914,0.667492,2.53482,0.0404169,0.657535,2.57242,154.832,0.273853,0.749602,2.43358,56.3852,0.0613987,0.897598,2.48822,0.0189077,0.927197,2.49915,-0.281865,0.665103,2.49899,121.948,-0.345319,0.763671,2.23726,110.507,-0.215122,0.938213,2.38763,,,,0.000865814,0.188949,2.47649,102.167,-0.0330649,-0.220391,2.29908,175.557,-0.0350988,-0.614414,2.14386,-0.212966,0.20178,2.45672,104.229,-0.242918,-0.181836,2.22841,178.683,-0.28417,-0.58923,2.12033
12037745336223,020936151947,1,-0.103194,0.220618,2.4587,-0.101155,0.425456,2.50095,175.951,-0.12105,0.752737,2.54681,177.091,-0.122352,0.883833,2.57252,-0.115859,0.66735,2.53484,-0.115859,0.66735,2.53484,0.0414333,0.658026,2.57248,155.284,0.275235,0.749291,2.43372,58.3662,0.0678735,0.905793,2.49373,0.0264012,0.937093,2.50573,-0.282297,0.664831,2.49883,121.403,-0.345672,0.765197,2.23777,110.494,-0.214118,0.938288,2.39212,,,,0.00091333,0.188763,2.47696,102.301,-0.032937,-0.221886,2.29726,175.603,-0.0351198,-0.618073,2.14227,-0.212464,0.200801,2.4563,104.798,-0.242991,-0.185521,2.2285,178.7,-0.284507,-0.592992,2.11345
12037745667197,020936151947,1,-0.103007,0.220487,2.45868,-0.101106,0.42532,2.50097,175.985,-0.121025,0.752581,2.54681,177.076,-0.12229,0.882294,2.57168,-0.115828,0.667191,2.53485,-0.115828,0.667191,2.53485,0.0424775,0.658739,2.57255,155.837,0.276463,0.749056,2.43348,57.9394,0.0714975,0.902574,2.49367,0.0305045,0.933277,2.50571,-0.282709,0.66458,2.49869,120.502,-0.345821,0.767979,2.23874,110.347,-0.212833,0.936646,2.39062,-0.186236,0.97038,2.42099,0.00110476,0.188443,2.47627,102.346,-0.0331818,-0.223177,2.29441,175.52,-0.035134,-0.620513,2.14107,-0.212294,0.200762,2.45576,104.84,-0.24361,-0.187681,2.22814,178.827,-0.284891,-0.595383,2.11209
12037746005997,020936151947,1,-0.103115,0.220273,2.45864,-0.101098,0.425107,2.50094,175.954,-0.121013,0.752417,2.54654,177.072,-0.122256,0.880943,2.57115,-0.115817,0.667017,2.53464,-0.115817,0.667017,2.53464,0.0434127,0.659477,2.57251,156.638,0.278002,0.747891,2.43323,55.5372,0.0684681,0.893988,2.49506,0.0265614,0.923208,2.50743,-0.283127,0.664317,2.49852,119.493,-0.346121,0.771611,2.24013,110.135,-0.20911,0.938131,2.39036,-0.181708,0.971434,2.42041,0.00093026,0.187903,2.47562,102.512,-0.0334291,-0.223865,2.28999,175.474,-0.0351291,-0.622424,2.13953,-0.212424,0.200764,2.45513,104.76,-0.244165,-0.190298,2.22873,178.95,-0.284801,-0.598114,2.11244
12037746337328,020936151947,1,-0.103311,0.220008,2.45857,-0.101109,0.424851,2.50085,175.907,-0.121007,0.752264,2.54549,177.071,-0.122228,0.879712,2.57056,-0.115815,0.666827,2.53384,-0.115815,0.666827,2.53384,0.0441892,0.660216,2.57199,157.403,0.279174,0.746817,2.43224,54.6097,0.0687709,0.890768,2.49529,0.0266903,0.919559,2.50791,-0.283651,0.664021,2.49831,118.038,-0.346735,0.777848,2.24274,111.609,-0.210244,0.944043,2.39347,-0.182946,0.977282,2.42361,0.000763031,0.187493,2.47474,102.564,-0.0336507,-0.223535,2.28408,175.425,-0.0351358,-0.627269,2.1376,-0.212642,0.200793,2.45436,104.658,-0.244957,-0.193079,2.23009,179.133,-0.284949,-0.604129,2.11218
12037746666540,020936151947,1,-0.103624,0.219743,2.45776,-0.101136,0.424489,2.50051,175.833,-0.121004,0.752108,2.54285,177.074,-0.122204,0.878396,2.56973,-0.115818,0.666591,2.5318,-0.115818,0.666591,2.5318,0.0447563,0.660618,2.56952,157.662,0.279282,0.746942,2.42882,56.2953,0.0732131,0.897143,2.49095,0.0319992,0.927183,2.50338,-0.284548,0.663796,2.49799,118.112,-0.349124,0.780004,2.24387,111.301,-0.211479,0.946162,2.39331,-0.18395,0.979394,2.42319,0.000407692,0.186931,2.47316,102.725,-0.0338497,-0.222711,2.27778,175.391,-0.0350741,-0.6307,2.13602,-0.213005,0.200876,2.45319,104.56,-0.246121,-0.195734,2.23238,179.406,-0.284935,-0.608906,2.11265
12037747005703,020936151947,1,-0.105696,0.219759,2.45407,-0.101723,0.424014,2.49902,175.521,-0.121003,0.751949,2.53813,177.196,-0.122225,0.87681,2.56847,-0.115968,0.666315,2.52792,-0.115968,0.666315,2.52792,0.0457537,0.660769,2.56121,157.745,0.281734,0.748019,2.42353,56.4053,0.0762583,0.897933,2.48751,0.035163,0.927916,2.5003,-0.284905,0.663865,2.49306,118.471,-0.354025,0.787027,2.24344,109.974,-0.214755,0.948806,2.39582,-0.186901,0.981162,2.42629,-0.0012289,0.187386,2.47016,102.659,-0.0338429,-0.221673,2.27394,175.589,-0.0349048,-0.632575,2.13448,-0.215196,0.200674,2.45134,104.563,-0.247857,-0.198591,2.2359,179.592,-0.284778,-0.613481,2.11427
12037747336075,020936151947,1,-0.109562,0.220035,2.4475,-0.102647,0.423687,2.49479,174.853,-0.121005,0.751801,2.53237,177.39,-0.122281,0.875215,2.56632,-0.116211,0.666105,2.52255,-0.116211,0.666105,2.52255,0.0465977,0.661041,2.55362,157.323,0.279893,0.750104,2.41255,57.1222,0.0756337,0.899748,2.48594,0.0347819,0.929677,2.50062,-0.284791,0.664239,2.48455,119.015,-0.360845,0.797851,2.24243,105.549,-0.211889,0.94784,2.39996,-0.182098,0.977838,2.43147,-0.00427592,0.188299,2.46531,102.603,-0.0340529,-0.220015,2.26881,175.928,-0.0347686,-0.633425,2.13281,-0.219261,0.200189,2.44859,104.681,-0.250318,-0.201046,2.2382,179.711,-0.284647,-0.617404,2.11624
12037747666204,020936151947,1,-0.114947,0.220662,2.43805,-0.103718,0.423489,2.488,173.805,-0.12107,0.75165,2.52645,177.819,-0.12288,0.874243,2.56184,-0.116539,0.665964,2.51641,-0.116539,0.665964,2.51641,0.0471899,0.661344,2.54712,156.772,0.276869,0.752334,2.40141,56.9805,0.072391,0.897482,2.4842,0.0314954,0.926511,2.50076,-0.286531,0.664385,2.48285,123.041,-0.374304,0.796625,2.24396,98.0083,-0.212741,0.939977,2.39589,-0.180429,0.968647,2.42627,-0.00843214,0.189361,2.454,102.66,-0.0350435,-0.220339,2.26275,176.246,-0.0347697,-0.636076,2.13201,-0.224542,0.199832,2.4426,104.861,-0.253397,-0.202755,2.2371,179.855,-0.284429,-0.62086,2.11813
12037748006394,020936151947,1,-0.12069,0.221198,2.42774,-0.105536,0.423313,2.47953,172.92,-0.121543,0.751501,2.52044,178.402,-0.1241,0.874101,2.5546,-0.117367,0.665872,2.50977,-0.117367,0.665872,2.50977,0.0477266,0.661806,2.53926,156.185,0.27615,0.755977,2.3936,55.8402,0.0693226,0.892539,2.48345,0.0279571,0.919851,2.50142,-0.288849,0.665218,2.48025,125.66,-0.383942,0.796686,2.24374,92.5053,-0.212775,0.932275,2.39144,-0.178541,0.959393,2.42098,-0.013043,0.190124,2.44082,102.862,-0.0360856,-0.216906,2.24833,176.565,-0.0346629,-0.636042,2.13026,-0.230385,0.199935,2.43031,104.667,-0.256564,-0.205258,2.23438,179.934,-0.284146,-0.624892,2.1214
